scientific_name,common_name_en,category,list_source,project_existing_media_note,iucn_search,gbif_species,morphosource,pbdb_ui,bhl,smithsonian_3d_search,sketchfab_search,xeno_canto,macaulay,notable_curated_count
Pinguinus impennis,Great Auk,Birds,unified_priority_csv,"Sketchfab ""Great Auk""",https://www.iucnredlist.org/search?query=Pinguinus%20impennis,https://www.gbif.org/species/search?q=Pinguinus%20impennis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Pinguinus%20impennis,https://paleobiodb.org/#/taxon/list?taxon_name=Pinguinus%20impennis,https://www.biodiversitylibrary.org/search?searchTerm=Pinguinus%20impennis,https://3d.si.edu/search?q=Pinguinus%20impennis,https://sketchfab.com/search?q=Pinguinus%20impennis,https://xeno-canto.org/explore?query=Pinguinus%20impennis,https://search.macaulaylibrary.org/catalog?searchField=species&q=Pinguinus%20impennis,1
Camptorhynchus labradorius,Labrador Duck,Birds,unified_priority_csv,"Sketchfab ""Labrador Duck""",https://www.iucnredlist.org/search?query=Camptorhynchus%20labradorius,https://www.gbif.org/species/search?q=Camptorhynchus%20labradorius,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Camptorhynchus%20labradorius,https://paleobiodb.org/#/taxon/list?taxon_name=Camptorhynchus%20labradorius,https://www.biodiversitylibrary.org/search?searchTerm=Camptorhynchus%20labradorius,https://3d.si.edu/search?q=Camptorhynchus%20labradorius,https://sketchfab.com/search?q=Camptorhynchus%20labradorius,https://xeno-canto.org/explore?query=Camptorhynchus%20labradorius,https://search.macaulaylibrary.org/catalog?searchField=species&q=Camptorhynchus%20labradorius,0
Tachybaptus rufolavatus,Alaotra Grebe,Birds,unified_priority_csv,"Sketchfab ""Grebe""",https://www.iucnredlist.org/search?query=Tachybaptus%20rufolavatus,https://www.gbif.org/species/search?q=Tachybaptus%20rufolavatus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Tachybaptus%20rufolavatus,https://paleobiodb.org/#/taxon/list?taxon_name=Tachybaptus%20rufolavatus,https://www.biodiversitylibrary.org/search?searchTerm=Tachybaptus%20rufolavatus,https://3d.si.edu/search?q=Tachybaptus%20rufolavatus,https://sketchfab.com/search?q=Tachybaptus%20rufolavatus,https://xeno-canto.org/explore?query=Tachybaptus%20rufolavatus,https://search.macaulaylibrary.org/catalog?searchField=species&q=Tachybaptus%20rufolavatus,0
Corvus hawaiiensis,Hawaiian Crow,Birds,unified_priority_csv,San Diego Zoo recordings,https://www.iucnredlist.org/search?query=Corvus%20hawaiiensis,https://www.gbif.org/species/search?q=Corvus%20hawaiiensis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Corvus%20hawaiiensis,https://paleobiodb.org/#/taxon/list?taxon_name=Corvus%20hawaiiensis,https://www.biodiversitylibrary.org/search?searchTerm=Corvus%20hawaiiensis,https://3d.si.edu/search?q=Corvus%20hawaiiensis,https://sketchfab.com/search?q=Corvus%20hawaiiensis,https://xeno-canto.org/explore?query=Corvus%20hawaiiensis,https://search.macaulaylibrary.org/catalog?searchField=species&q=Corvus%20hawaiiensis,1
Conuropsis carolinensis,Carolina Parakeet,Birds,unified_priority_csv,"Sketchfab ""Parakeet""",https://www.iucnredlist.org/search?query=Conuropsis%20carolinensis,https://www.gbif.org/species/search?q=Conuropsis%20carolinensis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Conuropsis%20carolinensis,https://paleobiodb.org/#/taxon/list?taxon_name=Conuropsis%20carolinensis,https://www.biodiversitylibrary.org/search?searchTerm=Conuropsis%20carolinensis,https://3d.si.edu/search?q=Conuropsis%20carolinensis,https://sketchfab.com/search?q=Conuropsis%20carolinensis,https://xeno-canto.org/explore?query=Conuropsis%20carolinensis,https://search.macaulaylibrary.org/catalog?searchField=species&q=Conuropsis%20carolinensis,0
Campephilus imperialis,Imperial Woodpecker,Birds,unified_priority_csv,"Sketchfab ""Woodpecker""",https://www.iucnredlist.org/search?query=Campephilus%20imperialis,https://www.gbif.org/species/search?q=Campephilus%20imperialis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Campephilus%20imperialis,https://paleobiodb.org/#/taxon/list?taxon_name=Campephilus%20imperialis,https://www.biodiversitylibrary.org/search?searchTerm=Campephilus%20imperialis,https://3d.si.edu/search?q=Campephilus%20imperialis,https://sketchfab.com/search?q=Campephilus%20imperialis,https://xeno-canto.org/explore?query=Campephilus%20imperialis,https://search.macaulaylibrary.org/catalog?searchField=species&q=Campephilus%20imperialis,0
Vermivora bachmanii,Bachman’s Warbler,Birds,unified_priority_csv,"Sketchfab ""Warbler""",https://www.iucnredlist.org/search?query=Vermivora%20bachmanii,https://www.gbif.org/species/search?q=Vermivora%20bachmanii,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Vermivora%20bachmanii,https://paleobiodb.org/#/taxon/list?taxon_name=Vermivora%20bachmanii,https://www.biodiversitylibrary.org/search?searchTerm=Vermivora%20bachmanii,https://3d.si.edu/search?q=Vermivora%20bachmanii,https://sketchfab.com/search?q=Vermivora%20bachmanii,https://xeno-canto.org/explore?query=Vermivora%20bachmanii,https://search.macaulaylibrary.org/catalog?searchField=species&q=Vermivora%20bachmanii,0
Psephotellus pulcherrimus,Paradise Parrot,Birds,unified_priority_csv,Australian Museum,https://www.iucnredlist.org/search?query=Psephotellus%20pulcherrimus,https://www.gbif.org/species/search?q=Psephotellus%20pulcherrimus,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Psephotellus%20pulcherrimus,https://paleobiodb.org/#/taxon/list?taxon_name=Psephotellus%20pulcherrimus,https://www.biodiversitylibrary.org/search?searchTerm=Psephotellus%20pulcherrimus,https://3d.si.edu/search?q=Psephotellus%20pulcherrimus,https://sketchfab.com/search?q=Psephotellus%20pulcherrimus,https://xeno-canto.org/explore?query=Psephotellus%20pulcherrimus,https://search.macaulaylibrary.org/catalog?searchField=species&q=Psephotellus%20pulcherrimus,0
Ninox albifacies,Laughing Owl,Birds,unified_priority_csv,"Sketchfab ""Laughing Owl""",https://www.iucnredlist.org/search?query=Ninox%20albifacies,https://www.gbif.org/species/search?q=Ninox%20albifacies,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Ninox%20albifacies,https://paleobiodb.org/#/taxon/list?taxon_name=Ninox%20albifacies,https://www.biodiversitylibrary.org/search?searchTerm=Ninox%20albifacies,https://3d.si.edu/search?q=Ninox%20albifacies,https://sketchfab.com/search?q=Ninox%20albifacies,https://xeno-canto.org/explore?query=Ninox%20albifacies,https://search.macaulaylibrary.org/catalog?searchField=species&q=Ninox%20albifacies,1
Tympanuchus cupido cupido,Heath Hen,Birds,unified_priority_csv,Smithsonian models,https://www.iucnredlist.org/search?query=Tympanuchus%20cupido%20cupido,https://www.gbif.org/species/search?q=Tympanuchus%20cupido%20cupido,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Tympanuchus%20cupido%20cupido,https://paleobiodb.org/#/taxon/list?taxon_name=Tympanuchus%20cupido%20cupido,https://www.biodiversitylibrary.org/search?searchTerm=Tympanuchus%20cupido%20cupido,https://3d.si.edu/search?q=Tympanuchus%20cupido%20cupido,https://sketchfab.com/search?q=Tympanuchus%20cupido%20cupido,https://xeno-canto.org/explore?query=Tympanuchus%20cupido%20cupido,https://search.macaulaylibrary.org/catalog?searchField=species&q=Tympanuchus%20cupido%20cupido,0
Chelonoidis abingdonii,Pinta Giant Tortoise,Reptiles,unified_priority_csv,"Sketchfab ""Giant Tortoise""",https://www.iucnredlist.org/search?query=Chelonoidis%20abingdonii,https://www.gbif.org/species/search?q=Chelonoidis%20abingdonii,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Chelonoidis%20abingdonii,https://paleobiodb.org/#/taxon/list?taxon_name=Chelonoidis%20abingdonii,https://www.biodiversitylibrary.org/search?searchTerm=Chelonoidis%20abingdonii,https://3d.si.edu/search?q=Chelonoidis%20abingdonii,https://sketchfab.com/search?q=Chelonoidis%20abingdonii,,,1
Cylindraspis indica,Réunion Giant Tortoise,Reptiles,unified_priority_csv,Mauritius museum,https://www.iucnredlist.org/search?query=Cylindraspis%20indica,https://www.gbif.org/species/search?q=Cylindraspis%20indica,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Cylindraspis%20indica,https://paleobiodb.org/#/taxon/list?taxon_name=Cylindraspis%20indica,https://www.biodiversitylibrary.org/search?searchTerm=Cylindraspis%20indica,https://3d.si.edu/search?q=Cylindraspis%20indica,https://sketchfab.com/search?q=Cylindraspis%20indica,,,0
Cylindraspis triserrata,Domed Mauritius Giant Tortoise,Reptiles,unified_priority_csv,"Sketchfab ""Tortoise""",https://www.iucnredlist.org/search?query=Cylindraspis%20triserrata,https://www.gbif.org/species/search?q=Cylindraspis%20triserrata,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Cylindraspis%20triserrata,https://paleobiodb.org/#/taxon/list?taxon_name=Cylindraspis%20triserrata,https://www.biodiversitylibrary.org/search?searchTerm=Cylindraspis%20triserrata,https://3d.si.edu/search?q=Cylindraspis%20triserrata,https://sketchfab.com/search?q=Cylindraspis%20triserrata,,,0
Cylindraspis peltastes,Rodrigues Giant Tortoise,Reptiles,unified_priority_csv,Rodrigues models,https://www.iucnredlist.org/search?query=Cylindraspis%20peltastes,https://www.gbif.org/species/search?q=Cylindraspis%20peltastes,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Cylindraspis%20peltastes,https://paleobiodb.org/#/taxon/list?taxon_name=Cylindraspis%20peltastes,https://www.biodiversitylibrary.org/search?searchTerm=Cylindraspis%20peltastes,https://3d.si.edu/search?q=Cylindraspis%20peltastes,https://sketchfab.com/search?q=Cylindraspis%20peltastes,,,0
Bolyeria multocarinata,Round Island Burrowing Boa,Reptiles,unified_priority_csv,"Sketchfab ""Boa""",https://www.iucnredlist.org/search?query=Bolyeria%20multocarinata,https://www.gbif.org/species/search?q=Bolyeria%20multocarinata,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Bolyeria%20multocarinata,https://paleobiodb.org/#/taxon/list?taxon_name=Bolyeria%20multocarinata,https://www.biodiversitylibrary.org/search?searchTerm=Bolyeria%20multocarinata,https://3d.si.edu/search?q=Bolyeria%20multocarinata,https://sketchfab.com/search?q=Bolyeria%20multocarinata,,,0
Hoplodactylus delcourti,Delcourt's Giant Gecko,Reptiles,unified_priority_csv,Museum casts,https://www.iucnredlist.org/search?query=Hoplodactylus%20delcourti,https://www.gbif.org/species/search?q=Hoplodactylus%20delcourti,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Hoplodactylus%20delcourti,https://paleobiodb.org/#/taxon/list?taxon_name=Hoplodactylus%20delcourti,https://www.biodiversitylibrary.org/search?searchTerm=Hoplodactylus%20delcourti,https://3d.si.edu/search?q=Hoplodactylus%20delcourti,https://sketchfab.com/search?q=Hoplodactylus%20delcourti,,,0
Incilius periglenes,Golden Toad,Amphibians,unified_priority_csv,"Sketchfab ""Golden Toad""",https://www.iucnredlist.org/search?query=Incilius%20periglenes,https://www.gbif.org/species/search?q=Incilius%20periglenes,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Incilius%20periglenes,https://paleobiodb.org/#/taxon/list?taxon_name=Incilius%20periglenes,https://www.biodiversitylibrary.org/search?searchTerm=Incilius%20periglenes,https://3d.si.edu/search?q=Incilius%20periglenes,https://sketchfab.com/search?q=Incilius%20periglenes,,,1
Cynops wolterstorffi,Yunnan Lake Newt,Amphibians,unified_priority_csv,Chinese museum,https://www.iucnredlist.org/search?query=Cynops%20wolterstorffi,https://www.gbif.org/species/search?q=Cynops%20wolterstorffi,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Cynops%20wolterstorffi,https://paleobiodb.org/#/taxon/list?taxon_name=Cynops%20wolterstorffi,https://www.biodiversitylibrary.org/search?searchTerm=Cynops%20wolterstorffi,https://3d.si.edu/search?q=Cynops%20wolterstorffi,https://sketchfab.com/search?q=Cynops%20wolterstorffi,,,0
Litoria nyakalensis,Mountain Mist Frog,Amphibians,unified_priority_csv,"Sketchfab ""Mist Frog""",https://www.iucnredlist.org/search?query=Litoria%20nyakalensis,https://www.gbif.org/species/search?q=Litoria%20nyakalensis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Litoria%20nyakalensis,https://paleobiodb.org/#/taxon/list?taxon_name=Litoria%20nyakalensis,https://www.biodiversitylibrary.org/search?searchTerm=Litoria%20nyakalensis,https://3d.si.edu/search?q=Litoria%20nyakalensis,https://sketchfab.com/search?q=Litoria%20nyakalensis,,,0
Psephurus gladius,Chinese Paddlefish,Fishes,unified_priority_csv,"Sketchfab ""Paddlefish""",https://www.iucnredlist.org/search?query=Psephurus%20gladius,https://www.gbif.org/species/search?q=Psephurus%20gladius,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Psephurus%20gladius,https://paleobiodb.org/#/taxon/list?taxon_name=Psephurus%20gladius,https://www.biodiversitylibrary.org/search?searchTerm=Psephurus%20gladius,https://3d.si.edu/search?q=Psephurus%20gladius,https://sketchfab.com/search?q=Psephurus%20gladius,,,1
Sympterichthys unipennis,Smooth Handfish,Fishes,unified_priority_csv,Australian museum scans,https://www.iucnredlist.org/search?query=Sympterichthys%20unipennis,https://www.gbif.org/species/search?q=Sympterichthys%20unipennis,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Sympterichthys%20unipennis,https://paleobiodb.org/#/taxon/list?taxon_name=Sympterichthys%20unipennis,https://www.biodiversitylibrary.org/search?searchTerm=Sympterichthys%20unipennis,https://3d.si.edu/search?q=Sympterichthys%20unipennis,https://sketchfab.com/search?q=Sympterichthys%20unipennis,,,0
Glaucopsyche xerces,Xerces Blue Butterfly,Invertebrates,unified_priority_csv,"Sketchfab ""Xerces Blue""",https://www.iucnredlist.org/search?query=Glaucopsyche%20xerces,https://www.gbif.org/species/search?q=Glaucopsyche%20xerces,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Glaucopsyche%20xerces,https://paleobiodb.org/#/taxon/list?taxon_name=Glaucopsyche%20xerces,https://www.biodiversitylibrary.org/search?searchTerm=Glaucopsyche%20xerces,https://3d.si.edu/search?q=Glaucopsyche%20xerces,https://sketchfab.com/search?q=Glaucopsyche%20xerces,,,1
Conus lugubris,Lugubrious cone snail,Invertebrates,research_supplement,Marine invertebrate; different 3D/audio workflow than vertebrates.,https://www.iucnredlist.org/search?query=Conus%20lugubris,https://www.gbif.org/species/search?q=Conus%20lugubris,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Conus%20lugubris,https://paleobiodb.org/#/taxon/list?taxon_name=Conus%20lugubris,https://www.biodiversitylibrary.org/search?searchTerm=Conus%20lugubris,https://3d.si.edu/search?q=Conus%20lugubris,https://sketchfab.com/search?q=Conus%20lugubris,,,0
Pieris wollastoni,Madeira large white,Insects,research_supplement,Low museum-audio potential; strong for Context (island endemism).,https://www.iucnredlist.org/search?query=Pieris%20wollastoni,https://www.gbif.org/species/search?q=Pieris%20wollastoni,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Pieris%20wollastoni,https://paleobiodb.org/#/taxon/list?taxon_name=Pieris%20wollastoni,https://www.biodiversitylibrary.org/search?searchTerm=Pieris%20wollastoni,https://3d.si.edu/search?q=Pieris%20wollastoni,https://sketchfab.com/search?q=Pieris%20wollastoni,,,0
Lipotes vexillifer,Baiji,Mammals,research_supplement,Often cited as a cetacean possibly extinct due to human activity; wording must match IUCN category.,https://www.iucnredlist.org/search?query=Lipotes%20vexillifer,https://www.gbif.org/species/search?q=Lipotes%20vexillifer,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Lipotes%20vexillifer,https://paleobiodb.org/#/taxon/list?taxon_name=Lipotes%20vexillifer,https://www.biodiversitylibrary.org/search?searchTerm=Lipotes%20vexillifer,https://3d.si.edu/search?q=Lipotes%20vexillifer,https://sketchfab.com/search?q=Lipotes%20vexillifer,,,1
Oophaga speciosa,Splendid poison frog,Amphibians,research_supplement,Strong pharm/toxin framing; pairs with golden toad narrative.,https://www.iucnredlist.org/search?query=Oophaga%20speciosa,https://www.gbif.org/species/search?q=Oophaga%20speciosa,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Oophaga%20speciosa,https://paleobiodb.org/#/taxon/list?taxon_name=Oophaga%20speciosa,https://www.biodiversitylibrary.org/search?searchTerm=Oophaga%20speciosa,https://3d.si.edu/search?q=Oophaga%20speciosa,https://sketchfab.com/search?q=Oophaga%20speciosa,,,0
Melamprosops phaeosoma,Hawaiian honeycreeper (Poʻouli),Birds,research_supplement,Complements other Hawaiian forest birds in core list.,https://www.iucnredlist.org/search?query=Melamprosops%20phaeosoma,https://www.gbif.org/species/search?q=Melamprosops%20phaeosoma,https://www.morphosource.org/catalog?utf8=%E2%9C%93&q=Melamprosops%20phaeosoma,https://paleobiodb.org/#/taxon/list?taxon_name=Melamprosops%20phaeosoma,https://www.biodiversitylibrary.org/search?searchTerm=Melamprosops%20phaeosoma,https://3d.si.edu/search?q=Melamprosops%20phaeosoma,https://sketchfab.com/search?q=Melamprosops%20phaeosoma,https://xeno-canto.org/explore?query=Melamprosops%20phaeosoma,https://search.macaulaylibrary.org/catalog?searchField=species&q=Melamprosops%20phaeosoma,0
